,0,1,2,XX
0,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'A.J. Green', 7600, 23.0]","['Tom Brady', 8100, 28.2]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'A.J. Green', 7600, 23.0, 'Tom Brady', 8100, 28.2]"
1,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'A.J. Green', 7600, 23.0]","['Philip Rivers', 6300, 23.0]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'A.J. Green', 7600, 23.0, 'Philip Rivers', 6300, 23.0]"
2,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'A.J. Green', 7600, 23.0]","['Ryan Fitzpatrick', 5000, 19.4]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'A.J. Green', 7600, 23.0, 'Ryan Fitzpatrick', 5000, 19.4]"
3,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Brandon Marshall', 7100, 22.0]","['Tom Brady', 8100, 28.2]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Brandon Marshall', 7100, 22.0, 'Tom Brady', 8100, 28.2]"
4,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Brandon Marshall', 7100, 22.0]","['Philip Rivers', 6300, 23.0]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Brandon Marshall', 7100, 22.0, 'Philip Rivers', 6300, 23.0]"
5,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Brandon Marshall', 7100, 22.0]","['Ryan Fitzpatrick', 5000, 19.4]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Brandon Marshall', 7100, 22.0, 'Ryan Fitzpatrick', 5000, 19.4]"
6,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Larry Fitzgerald', 7000, 23.0]","['Tom Brady', 8100, 28.2]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Larry Fitzgerald', 7000, 23.0, 'Tom Brady', 8100, 28.2]"
7,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Larry Fitzgerald', 7000, 23.0]","['Philip Rivers', 6300, 23.0]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Larry Fitzgerald', 7000, 23.0, 'Philip Rivers', 6300, 23.0]"
8,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Larry Fitzgerald', 7000, 23.0]","['Ryan Fitzpatrick', 5000, 19.4]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'Larry Fitzgerald', 7000, 23.0, 'Ryan Fitzpatrick', 5000, 19.4]"
9,"['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5]","['DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'T.Y. Hilton', 6500, 20.5]","['Tom Brady', 8100, 28.2]","['Adrian Peterson', 7600, 24.0, 'Matt Forte', 7100, 20.5, 'DeAndre Hopkins', 7700, 29.0, 'Julian Edelman', 7600, 23.0, 'T.Y. Hilton', 6500, 20.5, 'Tom Brady', 8100, 28.2]"
