,RB1,RB2,Salary,average,max_pts,max_score
0,Le'Veon Bell,Devonta Freeman,16300,44.88085714,44.88085714,1
1,Le'Veon Bell,Matt Forte,15600,43.0566,43.0566,1
3,Le'Veon Bell,Justin Forsett,14400,42.95585714,42.95585714,1
9,Le'Veon Bell,Darren McFadden,12100,37.01242857,37.01242857,1
17,Devonta Freeman,Justin Forsett,14100,42.58414286,42.58414286,1
23,Devonta Freeman,Darren McFadden,11800,36.64071429,36.64071429,1
30,Matt Forte,Justin Forsett,13400,40.75988572,40.75988572,1
42,Todd Gurley,Justin Forsett,12400,38.35257143,38.35257143,1
56,Justin Forsett,Giovani Bernard,10900,35.16328572,35.16328572,1
59,Justin Forsett,Darren McFadden,9900,34.71571429,34.71571429,1
60,Justin Forsett,Alfred Blue,9600,29.743885716,29.743885716,1
61,Justin Forsett,Antonio Andrews,9400,29.23557143,29.23557143,1
86,Giovani Bernard,Darren McFadden,8600,29.21985715,29.21985715,1
93,Danny Woodhead,Darren McFadden,8300,28.71,28.71,1
99,Jonathan Stewart,Darren McFadden,7900,26.51971429,26.51971429,1
105,Darren McFadden,Alfred Blue,7300,23.800457146,23.800457146,1
106,Darren McFadden,Antonio Andrews,7100,23.29214286,23.29214286,1
108,Darren McFadden,C.J. Spiller,6800,23.245428574,23.245428574,1
112,Alfred Blue,C.J. Spiller,6500,18.2736,18.2736,1
115,Antonio Andrews,C.J. Spiller,6300,17.765285714,17.765285714,1
117,Reggie Bush,C.J. Spiller,6200,17.498142857,17.498142857,1
119,C.J. Spiller,Khiry Robinson,6000,16.485285714,16.485285714,1
