,player,fan_pts
35,Cardinals,12.7
62,Eagles,10.1
67,Seahawks,9.7
104,Panthers,8.1
109,Jets,8.1
135,Patriots,7.4
143,Bills,7.1
154,Bengals,6.9
160,Chiefs,6.9
161,Packers,6.8
167,Broncos,6.6
172,Texans,6.4
178,Steelers,6.3
189,Chargers,6
190,Ravens,6
192,Falcons,5.9
197,Titans,5.6
198,Buccaneers,5.6
208,Colts,5.5
212,Rams,5.4
214,Raiders,5.3
215,Vikings,5.3
217,Dolphins,5.3
227,Giants,4.9
231,Cowboys,4.4
233,Browns,4.4
253,Redskins,3.8
260,Bears,3.4
282,Saints,2.9
294,Lions,2.6
306,Jaguars,2
349,49ers,1.2
