,Unnamed: 0,player,fan_pts,dk_name,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,Name
0,65,Cardinals,10.0,Arizona Cardinals,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Arizona Cardinals
1,68,Bears,10.0,Chicago Bears,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Chicago Bears
2,74,Seahawks,9.4,Seattle Seahawks,9.4,9.4,9.4,9.4,9.4,9.4,9.4,Seattle Seahawks
3,80,Broncos,9.1,Denver Broncos,9.1,9.1,9.1,9.1,9.1,9.1,9.1,Denver Broncos
4,81,Panthers,9.1,Carolina Panthers,9.1,9.1,9.1,9.1,9.1,9.1,9.1,Carolina Panthers
5,84,Bengals,9.0,Cincinnati Bengals,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Cincinnati Bengals
6,93,Patriots,8.6,New England Patriots,8.6,8.6,8.6,8.6,8.6,8.6,8.6,New England Patriots
7,97,Titans,8.5,Tennessee Titans,8.5,8.5,8.5,8.5,8.5,8.5,8.5,Tennessee Titans
8,126,Texans,7.6,Houston Texans,7.6,7.6,7.6,7.6,7.6,7.6,7.6,Houston Texans
9,133,Jets,7.5,New York Jets,7.5,7.5,7.5,7.5,7.5,7.5,7.5,New York Jets
11,142,Steelers,7.3,Pittsburgh Steelers,7.3,7.3,7.3,7.3,7.3,7.3,7.3,Pittsburgh Steelers
12,170,Vikings,6.5,Minnesota Vikings,6.5,6.5,6.5,6.5,6.5,6.5,6.5,Minnesota Vikings
13,172,Jaguars,6.4,Jacksonville Jaguars,6.4,6.4,6.4,6.4,6.4,6.4,6.4,Jacksonville Jaguars
14,174,Rams,6.3,St Louis Rams,6.3,6.3,6.3,6.3,6.3,6.3,6.3,St Louis Rams
15,175,Falcons,6.3,Atlanta Falcons,6.3,6.3,6.3,6.3,6.3,6.3,6.3,Atlanta Falcons
16,183,Buccaneers,5.9,Tampa Bay Buccaneers,5.9,5.9,5.9,5.9,5.9,5.9,5.9,Tampa Bay Buccaneers
17,184,Bills,5.8,Buffalo Bills,5.8,5.8,5.8,5.8,5.8,5.8,5.8,Buffalo Bills
18,187,Ravens,5.7,Baltimore Ravens,5.7,5.7,5.7,5.7,5.7,5.7,5.7,Baltimore Ravens
19,194,Chiefs,5.6,Kansas City Chiefs,5.6,5.6,5.6,5.6,5.6,5.6,5.6,Kansas City Chiefs
20,211,Redskins,5.2,Washington Redskins,5.2,5.2,5.2,5.2,5.2,5.2,5.2,Washington Redskins
21,215,Giants,5.0,New York Giants,5.0,5.0,5.0,5.0,5.0,5.0,5.0,New York Giants
22,218,Dolphins,5.0,Miami Dolphins,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Miami Dolphins
23,224,Colts,4.7,Indianapolis Colts,4.7,4.7,4.7,4.7,4.7,4.7,4.7,Indianapolis Colts
24,228,Cowboys,4.6,Dallas Cowboys,4.6,4.6,4.6,4.6,4.6,4.6,4.6,Dallas Cowboys
26,232,Saints,4.5,New Orleans Saints,4.5,4.5,4.5,4.5,4.5,4.5,4.5,New Orleans Saints
27,248,49ers,3.9,San Francisco 49ers,3.9,3.9,3.9,3.9,3.9,3.9,3.9,San Francisco 49ers
28,250,Raiders,3.8,Oakland Raiders,3.8,3.8,3.8,3.8,3.8,3.8,3.8,Oakland Raiders
29,278,Chargers,2.8,San Diego Chargers,2.8,2.8,2.8,2.8,2.8,2.8,2.8,San Diego Chargers
30,292,Eagles,2.3,Philadelphia Eagles,2.3,2.3,2.3,2.3,2.3,2.3,2.3,Philadelphia Eagles
31,306,Browns,1.7,Cleveland Browns,1.7,1.7,1.7,1.7,1.7,1.7,1.7,Cleveland Browns
