,QB,QB_sal,QB_score,RB1,RB1_sal,RB1_score,RB2,RB2_sal,RB2_score,WR1,WR1_sal,WR1_score,WR2,WR2_sal,WR2_score,WR3,WR3_sal,WR3_score,TE,TE_sal,TE_score,FLEX,FLEX_sal,FLEX_score,salary,score,Unique_flex
1,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Mike Evans,6800,17.05,Nick Williams,3000,11.18,Jared Cook,2600,11.89,Brandon Myers,2500,5.38,47500,134.928,1
2,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Mike Evans,6800,17.05,Nick Williams,3000,11.18,Jared Cook,2600,11.89,Jeff Cumberland,2500,7.4,47500,136.948,1
3,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Alshon Jeffery,6400,15.53,Marques Colston,3200,13.46,Jacob Tamme,2700,12.39,Owen Daniels,2600,9.17,47500,139.978,1
4,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Alshon Jeffery,6400,15.53,Marques Colston,3200,13.46,Jacob Tamme,2700,12.39,Jared Cook,2600,11.89,47500,142.698,1
5,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Alshon Jeffery,6400,15.53,Marques Colston,3200,13.46,Jared Cook,2600,11.89,Jacob Tamme,2700,12.39,47500,142.698,1
6,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Jeremy Maclin,6200,17.57,Marques Colston,3200,13.46,Jacob Tamme,2700,12.39,Heath Miller,2700,11.35,47400,144.198,1
8,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Eric Decker,5300,14.37,Marques Colston,3200,13.46,Jacob Tamme,2700,12.39,Alfred Blue,3500,16.77,47300,146.418,1
9,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Golden Tate,5000,14.57,Kenny Britt,3600,13.82,Jacob Tamme,2700,12.39,Alfred Blue,3500,16.77,47400,146.978,1
10,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Julio Jones,9200,19.21,Anquan Boldin,4400,15.01,Kenny Britt,3600,13.82,Jacob Tamme,2700,12.39,Alfred Blue,3500,16.77,46800,147.418,1
11,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Keenan Allen,7700,17.17,Jeremy Maclin,6200,17.57,Kenny Britt,3600,13.82,Jacob Tamme,2700,12.39,Alfred Blue,3500,16.77,47100,147.938,1
12,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Keenan Allen,7700,17.17,Anquan Boldin,4400,15.01,Marques Colston,3200,13.46,Jacob Tamme,2700,12.39,Justin Forsett,6100,20.77,47500,149.018,1
13,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Mike Evans,6800,17.05,Anquan Boldin,4400,15.01,Kenny Britt,3600,13.82,Jacob Tamme,2700,12.39,Justin Forsett,6100,20.77,47000,149.258,1
14,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Jeremy Maclin,6200,17.57,Golden Tate,5000,14.57,Kenny Britt,3600,13.82,Jacob Tamme,2700,12.39,Justin Forsett,6100,20.77,47000,149.338,1
15,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Jeremy Maclin,6200,17.57,Michael Crabtree,4700,13.53,Anquan Boldin,4400,15.01,Jacob Tamme,2700,12.39,Justin Forsett,6100,20.77,47500,149.488,1
16,Matt Ryan,7100,25.148,Le'Veon Bell,8300,23.88,Devonta Freeman,8000,21.19,Jeremy Maclin,6200,17.57,Anquan Boldin,4400,15.01,Kenny Britt,3600,13.82,Jacob Tamme,2700,12.39,Justin Forsett,6100,20.77,46400,149.778,1
